,price,property_type,subproperty_type,province,locality,zip_code,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,state_building,primary_energy_consumption_sqm,fl_double_glazing
135,1390000,1.0,APARTMENT,West Flanders,Brugge,8000,,,,,2.0,MISSING,0,0,1,48.0,1,5000.0,0,,,0
136,135000,0.0,HOUSE,West Flanders,Brugge,8000,1952.0,115.0,161.0,2.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,2.0,211.0,0
137,297000,0.0,HOUSE,West Flanders,Brugge,8000,1977.0,,255.0,,3.0,INSTALLED,0,0,0,0.0,0,0.0,0,4.0,395.0,0
138,490000,1.0,TRIPLEX,West Flanders,Brugge,8000,,181.0,,,3.0,MISSING,0,0,0,0.0,0,0.0,0,,117.0,1
139,375000,1.0,APARTMENT,West Flanders,Brugge,8000,2024.0,97.0,,3.0,2.0,INSTALLED,0,0,1,15.0,0,0.0,0,5.0,,1
140,110000,1.0,KOT,West Flanders,Brugge,8000,2017.0,17.0,,2.0,1.0,INSTALLED,1,0,0,0.0,0,0.0,0,4.0,71.0,0
141,350000,0.0,HOUSE,West Flanders,Brugge,8000,,,70.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,,153.0,0
142,475000,1.0,APARTMENT,West Flanders,Brugge,8000,2023.0,92.0,,2.0,2.0,MISSING,0,0,1,11.0,0,0.0,0,,0.0,1
143,785000,1.0,PENTHOUSE,West Flanders,Brugge,8000,2007.0,,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,,209.0,0
144,395000,0.0,HOUSE,West Flanders,Brugge,8000,,295.0,165.0,4.0,4.0,MISSING,0,0,0,0.0,0,0.0,0,,,0
145,699000,0.0,HOUSE,West Flanders,Brugge,8000,,,170.0,4.0,4.0,MISSING,0,0,1,,0,0.0,0,,,0
146,150000,0.0,HOUSE,West Flanders,Brugge,8000,1957.0,105.0,187.0,2.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,2.0,446.0,0
147,395000,0.0,HOUSE,West Flanders,Brugge,8000,,295.0,165.0,4.0,4.0,MISSING,0,0,0,0.0,0,0.0,0,,476.0,0
148,399000,1.0,GROUND_FLOOR,West Flanders,Brugge,8000,2024.0,93.0,,3.0,2.0,INSTALLED,0,0,1,37.0,0,0.0,0,5.0,,1
149,110000,1.0,KOT,West Flanders,Brugge,8000,2017.0,17.0,,4.0,1.0,INSTALLED,1,0,0,0.0,0,0.0,0,4.0,71.0,0
150,915000,0.0,HOUSE,West Flanders,Brugge,8000,,,242.0,,3.0,MISSING,0,0,1,32.0,1,5000.0,0,,,0
151,449000,1.0,APARTMENT,West Flanders,Brugge,8000,2013.0,129.0,,,3.0,MISSING,0,0,1,,0,0.0,0,4.0,157.0,1
152,209000,1.0,APARTMENT,West Flanders,Brugge,8000,1960.0,60.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,211.0,0
153,175000,0.0,HOUSE,West Flanders,Brugge,8000,,,59.0,2.0,1.0,SEMI_EQUIPPED,0,0,1,,0,0.0,0,4.0,680.0,1
154,1795000,0.0,MANOR_HOUSE,West Flanders,Brugge,8000,,,0.0,,4.0,MISSING,0,0,0,0.0,0,0.0,0,,298.0,0
155,950000,0.0,HOUSE,West Flanders,Brugge,8000,1776.0,290.0,325.0,4.0,5.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,270.0,1
156,175000,0.0,HOUSE,West Flanders,Brugge,8000,1977.0,122.0,220.0,3.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,3.0,374.0,0
157,400000,1.0,APARTMENT,West Flanders,Brugge,8000,2024.0,104.0,,3.0,2.0,INSTALLED,0,0,1,15.0,0,0.0,0,5.0,,1
158,739000,1.0,APARTMENT,West Flanders,Brugge,8000,1918.0,281.0,,2.0,9.0,INSTALLED,1,0,1,,0,0.0,0,4.0,192.0,0
159,359000,0.0,HOUSE,West Flanders,Brugge,8000,,95.0,0.0,,3.0,INSTALLED,0,0,0,0.0,1,28.0,0,5.0,,1
160,443000,1.0,APARTMENT,West Flanders,Brugge,8000,,127.0,,,2.0,MISSING,0,0,1,7.0,0,0.0,0,,,0
161,190000,0.0,HOUSE,West Flanders,Brugge,8000,1932.0,,310.0,2.0,4.0,MISSING,0,0,0,0.0,0,0.0,0,3.0,652.0,0
162,189000,1.0,SERVICE_FLAT,West Flanders,Brugge,8000,2017.0,54.0,,,1.0,MISSING,0,0,1,,0,0.0,0,5.0,102.0,1
163,350000,0.0,HOUSE,West Flanders,Brugge,8000,,125.0,70.0,2.0,3.0,INSTALLED,0,0,1,18.0,0,0.0,0,6.0,153.0,1
164,402636,0.0,HOUSE,West Flanders,Brugge,8000,2022.0,139.0,0.0,,3.0,USA_HYPER_EQUIPPED,0,0,1,,0,0.0,0,,,1
165,195000,0.0,HOUSE,West Flanders,Brugge,8000,,75.0,27.0,4.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,474.0,1
166,1065000,1.0,PENTHOUSE,West Flanders,Brugge,8000,2023.0,147.0,,,3.0,MISSING,0,0,1,32.0,0,0.0,0,4.0,,1
167,107500,1.0,KOT,West Flanders,Brugge,8000,2017.0,17.0,,4.0,1.0,INSTALLED,1,0,0,0.0,0,0.0,0,4.0,71.0,0
168,400000,1.0,APARTMENT,West Flanders,Brugge,8000,2024.0,105.0,,3.0,2.0,INSTALLED,0,0,1,20.0,0,0.0,0,5.0,,1
